家庭生活料理神器 Picniic：让一家人生活更井井有条_36氪,	 对于工作越来越繁忙，家务越来越琐碎的现在家庭来说，家庭料理App 可能是个神器。Picniic就是这,	 http://36kr.com/p/5050714.html
​谁告诉你创业者和投资人，从此就幸福地生活在一起了？_36氪,	 【花儿街参考】| 出品,	 http://36kr.com/p/5058726.html
郎咸平的两个本命年：大运年和坎儿年_36氪,	 花儿街参考 · 出品,	 http://36kr.com/p/5087079.html
一家招聘网站骗走了一个年轻人性命，但他们一直知道这里骗局丛生_36氪,	 花儿街参考 · 出品,	 http://36kr.com/p/5086344.html
细说腾讯与互联网金融（一）：腾讯的金融思路_36氪,	 编者按：本文来自@狐狸君raphael，过往在某VC打过杂，也在Google搬过砖，现就职于某管理咨,	 http://36kr.com/p/206743.html
互联网金融分析框架：从支付、投资、融资三个维度理解何谓“互联网金融”_36氪,	 ,	 http://36kr.com/p/208129.html
氪星晚报 | 腾讯半年投了十家动画漫画公司；乐视超级汽车否认大规模裁员；网易云音乐回应下架华语音乐_36氪,	 乐视超级汽车否认大规模裁员：汽车业大牛将加盟,	 http://36kr.com/p/5087756.html
突发！统一宣布将逐步退出方便面市场！_36氪,	 退出没有时间表，速度视市场而定。,	 http://36kr.com/p/5087839.html
揭秘：腾讯内部首个被张小龙点赞的小程序是怎么开发出来的？_36氪,	 距离小程序的消息公布已经有三个月时间，整个行业都在期待这个有可能影响行业生态格局的产品会是什么样，尤,	 http://36kr.com/p/5058174.html
人工智能辅助炒股，股票灯塔会成为又一个独角兽吗？_36氪,	 灯塔财经成立于2015年5月，据联合创始人兼CMO荣强介绍，当初选择证券，是因为行业的互联网化程度不,	 http://36kr.com/p/5068948.html
当Elon Musk们担心AI失去监管的时候，究竟在担心什么？_36氪,	 编者按：本文来自微信公众号“线性资本”（ID：LinearVenture），作者：Desroches,	 http://36kr.com/p/5087379.html
从输出软件产品到综合解决方案，南博教育希望深耕教育细分场景_36氪,	 南博教育自2011年起开发教育信息化软件，已向环球雅思、卓越教育、昂立国际教育等1000余家学校和教,	 http://36kr.com/p/5087530.html
在“减持新政”后一个月，互联网投行鹿秀金融上线大宗交易平台_36氪,	 自2016年1月7日证监会发布《上市公司大股东、董监高减持股份的若干规定》以来，一些上市公司股东集中,	 http://36kr.com/p/5086099.html
滴滴天使投资人王刚：能成为行业大家的人，都有一套完整的哲学思想_36氪,	 编者按：本文来自微信公众号”捕手志“（ID：ibushouzhi），36氪经授权发布，转载请联系出处,	 http://36kr.com/p/5087038.html
红杉资本沈南鹏：我的32条创业投资经验 _36氪,	 编者按：本文来自微信公众号”捕手志“（ID：ibushouzhi），36氪经授权发布，转载请联系出处,	 http://36kr.com/p/5086754.html
智慧化配送也有“最后一公里”，京东推出青龙电子签收系统_36氪,	 当电商纷纷下乡，准备跻身最后一公里配送时，帮助用户实现最后一步签收的全供应链电子签收也在推进中。今日,	 http://36kr.com/p/5044894.html
京东发布 2016 Q1 财报，GMV 同比增长 55%，亏损 8.6 亿元_36氪,	 北京时间 5 月 9 日，京东集团（NASDAQ：JD）发布了截止今年 3 月 31 日的 2016,	 http://36kr.com/p/5046803.html
京东集团发布2017年一季度财报：净利润达14亿 超2016年全年_36氪,	 ,	 http://36kr.com/p/5073958.html
在非洲做生意是什么体验？《战狼2》只讲了冰山一角_36氪,	 《战狼2》火了。截至8月11日零点，票房已突破40亿，创下中国电影史上的最高票房纪录。这部以非洲撤侨,	 http://36kr.com/p/5087833.html
人工智能的种族主义源于算法，若现在不解决未来将更难_36氪,	 编者按：替我们的生活做决定的算法越来越多，让我们越来越担心。这些算法决定了我们在互联网上看的是什么、,	 http://36kr.com/p/5071820.html
开发人工智能工具修复“老问题”，谷歌收购印度创业公司Halli Labs_36氪,	 今天，谷歌宣布收购了Halli Labs。Halli今天上午通过媒体上发布了这一消息，随后，谷歌产品,	 http://36kr.com/p/5083378.html
对比了中美两国人工智能产业，我们发现AI正处于泡沫来临前_36氪,	 编者按：本文来自微信公众号“腾讯研究院”（ID：cyberlawrc），原题目《AI泡沫前，我们怎么,	 http://36kr.com/p/5086250.html
我这么有才，你还不发offer吗?_36氪,	 编者按：本文来自微信公众号"少年怒马"（ID：numa0827）。调侃历史，借古讽今，一个穿越过来的,	 http://36kr.com/p/5087645.html
有没有办法喜欢现在的工作？有。_36氪,	 编者按：本文来自微信公众号"薇安说"（ID： viannhe6）作者：薇安；36氪经授权发布。,	 http://36kr.com/p/5087672.html
“订单过千、日销100万+”的京东之家有啥秘密？_36氪,	 第一：店铺里充满了科技玩法，让人耳目一新,	 http://36kr.com/p/5087831.html
关于明天的小米发布会，剧透都在这里了_36氪,	 ,	 http://36kr.com/p/5036334.html
放贷近百亿的“小米贷款”，不再是小米硬件中的一个附庸功能模块了_36氪,	 小米除了和新希望合伙开了一家实体银行，还在小米手机里开了一家为年轻人提供现金贷的小额贷款公司。如今，,	 http://36kr.com/p/5070335.html
小米：未来两年在印度开100家小米之家_36氪,	 5月11日，小米科技宣布，在印度的首家小米之家将于5月20日正式开业。,	 http://36kr.com/p/5074687.html
共享宝马来了！每公里1.5元，不要油钱、停车费_36氪,	        这个时代变化太快了，快到你无法想像，各种“巨变”，颠覆着我们的生活。,	 http://36kr.com/p/5087828.html
时隔两年，耐克终于发布安卓版 FuelBand 应用_36氪,	 ,	 http://36kr.com/p/212944.html
《福布斯》：赞助奥运会可能是浪费钱_36氪,	 今天是奥运会开幕第二天，你可能会在家中看直播，而赞助商则会双手合十，祈祷今年的赞助费不要打水漂。如果,	 http://36kr.com/p/5050706.html
耐克终于交出了一份超出华尔街预期的财报，但北美市场还是没起色_36氪,	 耐克终于交出了一份季度营收和利润都超过华尔街预期的财报，并确认了将与亚马逊合作卖鞋。西欧和中国市场表,	 http://36kr.com/p/5081752.html
腾讯动漫办了场演唱会，但动画音乐仍不是桩好生意_36氪,	 题图 / BanG Dream!,	 http://36kr.com/p/5073554.html
36氪_让一部分人先看到未来,	 ,	 http://36kr.com/p/5087325.html
王者荣耀第一主播参演，音乐剧究竟能有多潮？_36氪,	 编者按：本文来自微信公众号“好戏大赏”（ID：renmin233），作者 戏小刀。,	 http://36kr.com/p/5085401.html
独家对话导演不思凡：影评好像在写《大护法》，实际上都在写自己_36氪,	 编者按：本文来自微信公众号“好戏大赏”（ID：renmin233），作者 又白&戈多。,	 http://36kr.com/p/5084695.html
完整揭秘 | 便利店这门生意，巨头7-Eleven是怎么玩的？容易复制吗？_36氪,	 世上只有两家便利店，7-Eleven便利店和其他便利店。,	 http://36kr.com/p/5072024.html
门店密集争抢客人，分析师不看好星巴克美国扩张_36氪,	 一英里内出现四家星巴克，“每个角落都有星巴克”已经从玩笑变成一个严重的问题了。,	 http://36kr.com/p/5087456.html
​微信支付全面接入 7-Eleven香港门店，未来还会加大跨境业务投入_36氪,	 以后去香港，带着装有微信的智能手机就行了。,	 http://36kr.com/p/5087750.html
看懂天猫加码投资易果：冷链覆盖全国，业务反哺大天猫_36氪,	 36氪《零售老板内参》独家专稿，作者万德乾，未经许可不得转载,	 http://36kr.com/p/5086579.html
家电卖场开耍无人机，搞电竞大赛，这家公司玩新零售比马云还早三年_36氪,	 编者按：本文来自 零售老板内参（微信ID:lslb168），作者：房煜,	 http://36kr.com/p/5086506.html
机器人训练各出奇招：MIT让机器人教机器人，英伟达在虚拟环境训练机器人|机器人日报_36氪,	 这是36氪前沿科技小组近日推出的机器人日报，我们在这里为大家整理了每日工业机器人领域国内外重大新闻，,	 http://36kr.com/p/5074599.html
硅步机器人投资三亿打造邹城产业基地；美媒称中国汽车业掀起机器人革命|机器人日报_36氪,	 这是36氪前沿科技小组近日推出的机器人日报，我们在这里为大家整理了每日机器人领域国内外重大新闻，希望,	 http://36kr.com/p/5075093.html
智能机器人产业20亿元引导基金已到位；Elon Mask赞助的机器人实验室推出一次性仿人技术|机器人日报_36氪,	 这是36氪前沿科技小组近日推出的机器人日报，我们在这里为大家整理了每日机器人领域国内外重大新闻，希望,	 http://36kr.com/p/5075446.html
风口上的新零售，无人零售成败取决人工智能技术？_36氪,	 如果把“人工智能”和“新零售”强强联合起来，会爆发出怎样的能量呢？,	 http://36kr.com/p/5087814.html
麦当劳销售意外增长 出售中国子公司股权操之过急_36氪,	 4月26日，麦当劳发布一季度业绩情况，报告期内，麦当劳实现营收56.8亿美元，同比减少3.7%;经营,	 http://36kr.com/p/5072852.html
锤子田忌赛马，激烈变革一周年，罗永浩胜算几何 | 36氪深度_36氪,	 文 | 方园婧,	 http://36kr.com/p/5074237.html
学坏容易学好难！人工智能将继承人类的种族和性别偏见_36氪,	 编者按：桑斯坦在《网络共和国》当中提出了算法影响我们的认知世界、并在《信息乌托邦》当中第一次明确提出,	 http://36kr.com/p/5071215.html
AI职位年薪10万美元成常态，因特尔是如何看待的？_36氪,	 本文来自“新智元”,	 http://36kr.com/p/5071488.html
选择困难症？一文通解如何选择最合适的机器学习算法_36氪,	 大数据文摘作品，转载请注明来源，编译 | 姜范波，寒小阳，钱天培,	 http://36kr.com/p/5077195.html
年仅 14 岁和 16 岁，这两个“小孩”成为 YC 最年轻的创始人_36氪,	 编者按：14岁，这是很多人还在读初中的年龄。但14岁的Ghodsi和他16岁的伙伴Stokic却开发,	 http://36kr.com/p/5087650.html
